valid_time,latitude,longitude,tp,number,expver,location
01-01-2021 06:00,12.75,77.5,0,0,1,bangalore
01-01-2021 06:00,12.75,77.75,0,0,1,bangalore
01-01-2021 12:00,13,77.5,0,0,1,bangalore
01-01-2021 12:00,13,77.75,0,0,1,bangalore
01-01-2021 12:00,12.75,77.5,0,0,1,bangalore
01-01-2021 12:00,12.75,77.75,0,0,1,bangalore
01-01-2021 18:00,13,77.5,0,0,1,bangalore
01-01-2021 18:00,13,77.75,0,0,1,bangalore
01-01-2021 18:00,12.75,77.5,0,0,1,bangalore
01-01-2021 18:00,12.75,77.75,0,0,1,bangalore
02-01-2021 00:00,13,77.5,0,0,1,bangalore
02-01-2021 00:00,13,77.75,0,0,1,bangalore
02-01-2021 00:00,12.75,77.5,0,0,1,bangalore
02-01-2021 00:00,12.75,77.75,0,0,1,bangalore
02-01-2021 06:00,13,77.5,0,0,1,bangalore
02-01-2021 06:00,13,77.75,0,0,1,bangalore
02-01-2021 06:00,12.75,77.5,0,0,1,bangalore
02-01-2021 06:00,12.75,77.75,0,0,1,bangalore
02-01-2021 12:00,13,77.5,3.86E-05,0,1,bangalore
02-01-2021 12:00,13,77.75,0.000141144,0,1,bangalore
02-01-2021 12:00,12.75,77.5,3.81E-06,0,1,bangalore
02-01-2021 12:00,12.75,77.75,6.20E-06,0,1,bangalore
02-01-2021 18:00,13,77.5,0,0,1,bangalore
02-01-2021 18:00,13,77.75,0,0,1,bangalore
02-01-2021 18:00,12.75,77.5,0,0,1,bangalore
02-01-2021 18:00,12.75,77.75,0,0,1,bangalore
03-01-2021 00:00,13,77.5,0,0,1,bangalore
03-01-2021 00:00,13,77.75,4.77E-07,0,1,bangalore
03-01-2021 00:00,12.75,77.5,0,0,1,bangalore
03-01-2021 00:00,12.75,77.75,9.54E-07,0,1,bangalore
03-01-2021 06:00,13,77.5,2.29E-05,0,1,bangalore
03-01-2021 06:00,13,77.75,1.48E-05,0,1,bangalore
03-01-2021 06:00,12.75,77.5,2.67E-05,0,1,bangalore
03-01-2021 06:00,12.75,77.75,1.81E-05,0,1,bangalore
03-01-2021 12:00,13,77.5,2.15E-05,0,1,bangalore
03-01-2021 12:00,13,77.75,1.72E-05,0,1,bangalore
03-01-2021 12:00,12.75,77.5,7.58E-05,0,1,bangalore
03-01-2021 12:00,12.75,77.75,6.96E-05,0,1,bangalore
03-01-2021 18:00,13,77.5,2.24E-05,0,1,bangalore
03-01-2021 18:00,13,77.75,9.63E-05,0,1,bangalore
03-01-2021 18:00,12.75,77.5,6.34E-05,0,1,bangalore
03-01-2021 18:00,12.75,77.75,0.000179768,0,1,bangalore
04-01-2021 00:00,13,77.5,1.91E-06,0,1,bangalore
04-01-2021 00:00,13,77.75,4.82E-05,0,1,bangalore
04-01-2021 00:00,12.75,77.5,5.25E-06,0,1,bangalore
04-01-2021 00:00,12.75,77.75,7.82E-05,0,1,bangalore
04-01-2021 06:00,13,77.5,3.96E-05,0,1,bangalore
04-01-2021 06:00,13,77.75,1.86E-05,0,1,bangalore
04-01-2021 06:00,12.75,77.5,2.67E-05,0,1,bangalore
04-01-2021 06:00,12.75,77.75,1.53E-05,0,1,bangalore
04-01-2021 12:00,13,77.5,4.96E-05,0,1,bangalore
04-01-2021 12:00,13,77.75,0,0,1,bangalore
04-01-2021 12:00,12.75,77.5,2.67E-05,0,1,bangalore
04-01-2021 12:00,12.75,77.75,1.91E-06,0,1,bangalore
04-01-2021 18:00,13,77.5,4.77E-07,0,1,bangalore
04-01-2021 18:00,13,77.75,0,0,1,bangalore
04-01-2021 18:00,12.75,77.5,4.77E-07,0,1,bangalore
04-01-2021 18:00,12.75,77.75,4.77E-07,0,1,bangalore
05-01-2021 00:00,13,77.5,1.91E-06,0,1,bangalore
05-01-2021 00:00,13,77.75,3.34E-06,0,1,bangalore
05-01-2021 00:00,12.75,77.5,3.81E-06,0,1,bangalore
05-01-2021 00:00,12.75,77.75,4.29E-06,0,1,bangalore
05-01-2021 06:00,13,77.5,0,0,1,bangalore
05-01-2021 06:00,13,77.75,0.00012207,0,1,bangalore
05-01-2021 06:00,12.75,77.5,0.000190735,0,1,bangalore
05-01-2021 06:00,12.75,77.75,0.00021553,0,1,bangalore
05-01-2021 12:00,13,77.5,0.000327587,0,1,bangalore
05-01-2021 12:00,13,77.75,0.000447273,0,1,bangalore
05-01-2021 12:00,12.75,77.5,3.62E-05,0,1,bangalore
05-01-2021 12:00,12.75,77.75,0.000232697,0,1,bangalore
05-01-2021 18:00,13,77.5,0.000182152,0,1,bangalore
05-01-2021 18:00,13,77.75,0.000198364,0,1,bangalore
05-01-2021 18:00,12.75,77.5,0.000299454,0,1,bangalore
05-01-2021 18:00,12.75,77.75,0.000287056,0,1,bangalore
06-01-2021 00:00,13,77.5,1.57E-05,0,1,bangalore
06-01-2021 00:00,13,77.75,3.72E-05,0,1,bangalore
06-01-2021 00:00,12.75,77.5,5.39E-05,0,1,bangalore
06-01-2021 00:00,12.75,77.75,8.68E-05,0,1,bangalore
06-01-2021 06:00,13,77.5,0.000181198,0,1,bangalore
06-01-2021 06:00,13,77.75,0.000228882,0,1,bangalore
06-01-2021 06:00,12.75,77.5,5.34E-05,0,1,bangalore
06-01-2021 06:00,12.75,77.75,0.000116348,0,1,bangalore
06-01-2021 12:00,13,77.5,0.001238823,0,1,bangalore
06-01-2021 12:00,13,77.75,0.00023365,0,1,bangalore
